City_ID,City,Country,Max Temp,Current Conditions,Lat,Lng,Hotel Name
0,Lorengau,PG,80.11,scattered clouds,-2.0226,147.2712,
12,Santa Rosa,PH,79.11,overcast clouds,14.3122,121.1114,
14,Rikitea,PF,73.04,clear sky,-23.1203,-134.9692,
17,Mul,IN,76.08,overcast clouds,20.0667,79.6667,
19,Ribeira Grande,PT,73.8,broken clouds,38.5167,-28.7,
21,Jamestown,US,80.19,few clouds,42.097,-79.2353,
22,Buala,SB,80.2,light rain,-8.145,159.5921,
24,Atuona,PF,76.87,clear sky,-9.8,-139.0333,
26,Honiara,SB,77.0,clear sky,-9.4333,159.95,
30,Goderich,CA,83.91,overcast clouds,43.7501,-81.7165,
33,Butaritari,KI,81.07,clear sky,3.0707,172.7902,
37,Seoul,KR,70.99,clear sky,37.5683,126.9778,
38,Banjar,ID,74.86,overcast clouds,-8.19,114.9675,
40,Sibundoy,CO,71.26,light rain,1.2048,-76.9237,
44,Bengkulu,ID,74.14,heavy intensity rain,-3.8004,102.2655,
46,Erzin,TR,74.75,clear sky,36.9559,36.2,
48,Kapaa,US,82.38,light rain,22.0752,-159.319,
51,Anloga,GH,76.98,broken clouds,5.7947,0.8973,
52,Hasaki,JP,72.0,overcast clouds,35.7333,140.8333,
53,Albany,US,83.88,overcast clouds,42.6001,-73.9662,
54,Ternate,ID,78.71,overcast clouds,0.8,127.4,
56,Along,IN,70.41,clear sky,28.1667,94.7667,
58,Georgetown,MY,82.33,few clouds,5.4112,100.3354,
61,Salalah,OM,78.89,broken clouds,17.0151,54.0924,
62,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,
63,Kiunga,PG,71.38,overcast clouds,-6.1219,141.2906,
66,Bongandanga,CD,71.1,moderate rain,1.5,21.05,
70,Katsuura,JP,73.78,overcast clouds,35.1333,140.3,
74,Kahului,US,84.22,few clouds,20.8947,-156.47,
77,Victoria,HK,83.32,few clouds,22.2855,114.1577,
78,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,
79,Bilgi,IN,72.52,overcast clouds,16.35,75.6167,
81,Tiznit,MA,75.78,scattered clouds,29.5833,-9.5,
82,Katherine,AU,77.32,broken clouds,-14.4667,132.2667,
83,Havre-Saint-Pierre,CA,70.16,clear sky,50.2334,-63.5986,
87,San Joaquin,US,84.49,clear sky,37.9333,-121.3011,
89,Conde,BR,78.26,broken clouds,-7.2597,-34.9075,
92,Pocosol,CR,83.28,overcast clouds,10.3667,-84.6167,
95,Salinopolis,BR,81.63,overcast clouds,-0.6136,-47.3561,
98,Maiduguri,NG,72.23,overcast clouds,11.8464,13.1603,
100,Vaini,TO,75.36,broken clouds,-21.2,-175.2,
103,Noumea,NC,75.0,clear sky,-22.2763,166.4572,
106,Touros,BR,77.63,clear sky,-5.1989,-35.4608,
112,Ridgetown,CA,76.86,overcast clouds,42.4334,-81.8998,
117,Ponta Do Sol,PT,78.71,overcast clouds,32.6667,-17.1,
118,Ishigaki,JP,80.73,broken clouds,24.3448,124.1572,
120,Faanui,PF,79.11,clear sky,-16.4833,-151.75,
122,Tukrah,LY,78.35,clear sky,32.5341,20.5791,
130,Turkmenabat,TM,75.18,clear sky,39.0733,63.5786,
132,Castro,BR,76.73,clear sky,-24.7911,-50.0119,
137,Cam Ranh,VN,76.96,few clouds,11.9214,109.1591,
140,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,
141,Alofi,NU,75.09,few clouds,-19.0595,-169.9187,
143,Shenjiamen,CN,75.67,few clouds,29.9576,122.298,
144,Saravena,CO,79.79,overcast clouds,6.9538,-71.8752,
145,Broome,US,82.71,clear sky,42.2506,-75.833,
146,Hithadhoo,MV,81.36,clear sky,-0.6,73.0833,
147,Aguililla,MX,77.72,overcast clouds,18.7333,-102.7333,
153,Talisay,PH,78.82,few clouds,10.2447,123.8494,
156,Avera,US,79.56,overcast clouds,33.194,-82.5271,
157,Malindi,KE,75.36,few clouds,-3.2175,40.1191,
161,Jalu,LY,83.86,clear sky,29.0331,21.5482,
162,Charlottetown,CA,70.77,few clouds,46.2352,-63.1267,
170,Chihuahua,MX,81.19,broken clouds,28.5,-106.0,
174,Nishihara,JP,81.68,few clouds,26.1842,127.7558,
178,Sassandra,CI,73.35,clear sky,4.95,-6.0833,
180,Balaipungut,ID,74.34,overcast clouds,1.05,101.2833,
182,Lobito,AO,71.1,clear sky,-12.3481,13.5456,
183,Belmonte,BR,73.63,clear sky,-15.8631,-38.8828,
184,Arraial Do Cabo,BR,84.16,clear sky,-22.9661,-42.0278,
185,Lodja,CD,70.7,light rain,-3.4833,23.4333,
189,Caravelas,BR,73.81,clear sky,-17.7125,-39.2481,
190,Guerrero Negro,MX,84.67,clear sky,27.9769,-114.0611,
195,Camacha,PT,72.82,scattered clouds,33.0833,-16.3333,
196,Hilo,US,84.27,clear sky,19.7297,-155.09,
197,Ca Mau,VN,75.51,overcast clouds,9.1769,105.15,
201,Aksu,CN,78.24,clear sky,41.1231,80.2644,
203,Mitsamiouli,KM,75.69,clear sky,-11.3847,43.2844,
205,Kathmandu,NP,70.02,broken clouds,27.7167,85.3167,
215,Lakatoro,VU,79.36,broken clouds,-16.0999,167.4164,
216,Maceio,BR,72.84,overcast clouds,-9.6658,-35.7353,
221,Tabuk,PH,72.81,overcast clouds,17.4189,121.4443,
228,Ocos,GT,83.8,scattered clouds,14.5094,-92.1933,
230,Abu Samrah,SY,80.73,clear sky,35.3029,37.1841,
233,Manono,CD,76.42,few clouds,-7.3,27.4167,
234,Koroni,GR,81.07,clear sky,36.8,21.95,
235,Martapura,ID,75.29,broken clouds,-3.4167,114.85,
241,Dingle,PH,74.35,overcast clouds,10.9995,122.6711,
243,Merauke,ID,76.84,overcast clouds,-8.4667,140.3333,
253,Ende,ID,74.14,few clouds,-8.8432,121.6623,
256,Tautira,PF,77.97,few clouds,-17.7333,-149.15,
259,Mercedes,AR,70.95,clear sky,-34.6515,-59.4307,
260,Faya,SA,73.51,overcast clouds,18.3851,42.4509,
263,Artyom,AZ,71.74,overcast clouds,40.4723,50.333,
264,Binjai,ID,76.95,overcast clouds,3.6001,98.4854,
265,Marzuq,YE,79.86,overcast clouds,14.4,46.4667,
267,Avanigadda,IN,76.41,moderate rain,16.0215,80.9181,
270,Talara,PE,72.36,clear sky,-4.5772,-81.2719,
277,Padang,ID,76.98,moderate rain,-0.9492,100.3543,
283,Porto Novo,BJ,76.86,overcast clouds,6.4965,2.6036,
286,Coruripe,BR,74.77,scattered clouds,-10.1256,-36.1756,
295,Karratha,AU,70.5,clear sky,-20.7377,116.8463,
301,Luorong,CN,78.57,overcast clouds,24.4058,109.6086,
304,Poum,NC,75.4,clear sky,-20.2333,164.0167,
305,Los Llanos De Aridane,ES,71.35,broken clouds,28.6585,-17.9182,
308,Banda Aceh,ID,79.16,overcast clouds,5.5577,95.3222,
316,Da Nang,VN,76.98,few clouds,16.0678,108.2208,
320,Russell,US,80.96,scattered clouds,32.3502,-85.1999,
322,Morristown,US,73.45,overcast clouds,36.214,-83.2949,
323,Auki,SB,77.02,few clouds,-8.7676,160.7034,
324,Maygatasan,PH,71.76,overcast clouds,8.7094,125.7183,
325,Batticaloa,LK,80.19,overcast clouds,7.7102,81.6924,
326,Itarema,BR,80.67,clear sky,-2.9248,-39.9167,
328,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,
332,Sao Filipe,CV,79.66,broken clouds,14.8961,-24.4956,
334,Paredon,MX,84.34,overcast clouds,16.0333,-93.8667,
335,Basco,PH,82.51,overcast clouds,20.4487,121.9702,
342,Kavieng,PG,80.56,moderate rain,-2.5744,150.7967,
344,Dicabisagan,PH,77.49,overcast clouds,17.0818,122.4157,
345,Hambantota,LK,78.1,overcast clouds,6.1241,81.1185,
347,Washington,US,79.34,clear sky,47.5001,-120.5015,
349,La Ciotat,FR,76.87,clear sky,43.1748,5.6045,
350,Saurimo,AO,73.36,clear sky,-9.6608,20.3916,
354,Matagami,CA,75.31,broken clouds,49.7502,-77.6328,
360,Hamilton,US,82.99,clear sky,39.1834,-84.5333,
362,Kununurra,AU,73.38,clear sky,-15.7667,128.7333,
363,Chabahar,IR,82.76,scattered clouds,25.2919,60.643,
364,Gat,IL,79.48,clear sky,31.61,34.7642,
370,Praia Da Vitoria,PT,72.75,scattered clouds,38.7333,-27.0667,
371,Diamantina,BR,82.69,clear sky,-18.2494,-43.6003,
374,Kaseda,JP,77.0,clear sky,31.4167,130.3167,
377,Catamarca,AR,71.06,clear sky,-28.4696,-65.7852,
378,Sechura,PE,75.69,broken clouds,-5.5569,-80.8222,
383,Samarai,PG,79.75,few clouds,-10.6167,150.6667,
384,Port Blair,IN,78.84,mist,11.6667,92.75,
385,Paciran,ID,77.14,broken clouds,-6.8767,112.3761,
387,Fenton,US,84.67,overcast clouds,42.7978,-83.7049,
389,Juba,SS,71.22,broken clouds,4.8517,31.5825,
390,Isabela,PH,76.68,broken clouds,6.7085,121.9711,
392,Luwuk,ID,75.74,overcast clouds,-0.9516,122.7875,
393,Sabha,LY,82.81,clear sky,27.0377,14.4283,
394,Bubaque,GW,80.65,light rain,11.2833,-15.8333,
396,Sao Joao Da Barra,BR,82.49,clear sky,-21.6403,-41.0511,
398,Mwene-Ditu,CD,75.49,few clouds,-7.0,23.45,
400,Bukama,CD,79.56,clear sky,-9.2,25.85,
402,Kangaba,ML,71.91,moderate rain,11.9333,-8.4167,
403,Luganville,VU,78.84,scattered clouds,-15.5333,167.1667,
404,Namwala,ZM,70.81,clear sky,-15.7504,26.4384,
410,Asfi,MA,72.7,scattered clouds,32.2994,-9.2372,
412,Kutum,SD,81.05,scattered clouds,14.2,24.6667,
413,Parsabad,IR,70.54,overcast clouds,39.6482,47.9174,
416,Dunda,TZ,71.74,overcast clouds,-8.1167,34.25,
418,Constantine,DZ,78.21,few clouds,36.365,6.6147,
419,Chapais,CA,78.58,clear sky,49.7834,-74.8492,
421,Celestun,MX,84.22,scattered clouds,20.8667,-90.4,
422,Saint Anthony,US,74.34,few clouds,45.0205,-93.218,
423,Thinadhoo,MV,81.61,overcast clouds,0.5333,72.9333,
424,Waterloo,CA,82.89,broken clouds,43.4668,-80.5164,
433,Pacific Grove,US,72.41,haze,36.6177,-121.9166,
434,Wanning,CN,77.61,few clouds,18.8003,110.3967,
442,Lata,PT,70.81,clear sky,40.1629,-8.3327,
443,Vaitape,PF,79.12,clear sky,-16.5167,-151.75,
445,Savannah Bight,HN,84.4,overcast clouds,16.45,-85.85,
448,Mangai,CD,74.98,broken clouds,-4.05,19.5333,
458,Nabire,ID,75.7,overcast clouds,-3.3667,135.4833,
460,Hato Mayor,DO,84.58,overcast clouds,18.7629,-69.256,
461,Beitbridge,ZW,76.66,clear sky,-22.2167,30.0,
462,Felipe Carrillo Puerto,MX,83.5,overcast clouds,19.5833,-88.05,
463,Spring Hill,US,78.24,light rain,28.4769,-82.5255,
465,Kumluca,TR,82.26,clear sky,36.3703,30.2869,
469,Nhulunbuy,AU,70.41,broken clouds,-12.2333,136.7667,
470,Tagudin,PH,77.09,overcast clouds,16.9355,120.4442,
472,Kavaratti,IN,79.88,overcast clouds,10.5669,72.642,
473,Quito,EC,70.75,light rain,-0.2299,-78.5249,
474,Awbari,LY,81.86,clear sky,26.5921,12.7805,
476,Trinidad,BO,76.98,broken clouds,-14.8333,-64.9,
477,Gediz,TR,71.24,clear sky,39.0417,29.41,
479,Lengshuijiang,CN,77.0,overcast clouds,27.6881,111.4294,
480,Tenenkou,ML,84.51,overcast clouds,14.4572,-4.9169,
484,Dhidhdhoo,MV,80.35,overcast clouds,6.8833,73.1,
488,Teguise,ES,71.82,few clouds,29.0605,-13.564,
489,Gandajika,CD,76.59,few clouds,-6.75,23.95,
490,Paka,MY,76.98,overcast clouds,4.6374,103.4368,
494,Ouango,CF,71.6,overcast clouds,4.3133,22.5552,
497,Brookings,US,72.05,scattered clouds,44.3114,-96.7984,
498,Kirakira,SB,78.49,clear sky,-10.4544,161.9205,
500,Siguiri,GN,72.81,light rain,11.6667,-9.5,
505,Vila Franca Do Campo,PT,73.2,overcast clouds,37.7167,-25.4333,
506,Pandharpur,IN,75.33,overcast clouds,17.6667,75.3333,
507,Matara,LK,76.87,broken clouds,5.9485,80.5353,
509,Malakal,SS,70.88,light rain,9.5334,31.6605,
510,Isla Mujeres,MX,75.16,overcast clouds,21.2311,-86.731,
512,Yicheng,CN,70.95,broken clouds,31.3705,119.8703,
513,Korla,CN,78.58,clear sky,41.7597,86.1469,
517,Takoradi,GH,74.75,broken clouds,4.8845,-1.7554,
518,Axim,GH,74.25,broken clouds,4.8699,-2.2405,
523,Vao,NC,72.97,clear sky,-22.6667,167.4833,
524,Kawalu,ID,72.07,overcast clouds,-7.3817,108.2082,
527,Glendive,US,70.75,clear sky,47.1053,-104.7125,
529,Suez,EG,75.54,clear sky,29.9737,32.5263,
531,Sinnamary,GF,83.14,overcast clouds,5.3833,-52.95,
532,Mlonggo,ID,77.32,overcast clouds,-6.5333,110.7,
534,Elko,US,79.74,clear sky,41.0002,-115.5012,
536,Cartagena Del Chaira,CO,71.58,overcast clouds,1.3349,-74.8429,
538,Puerto Ayacucho,VE,84.49,overcast clouds,5.6639,-67.6236,
539,San Quintin,MX,79.3,broken clouds,30.4833,-115.95,
543,Hobyo,SO,76.73,scattered clouds,5.3505,48.5268,
544,Anuradhapura,LK,76.78,overcast clouds,8.3565,80.4173,
545,Westerville,US,79.79,overcast clouds,40.1262,-82.9291,
546,Sembakung,ID,72.75,overcast clouds,3.8167,117.25,
550,Lagos,NG,75.56,overcast clouds,6.5833,3.75,
552,Lagoa,PT,71.82,overcast clouds,39.05,-27.9833,
555,Fomboni,KM,75.69,clear sky,-12.28,43.7425,
556,Pokhara,NP,72.73,overcast clouds,28.2333,83.9833,
557,West Wendover,US,75.9,clear sky,40.7391,-114.0733,
559,Ormara,PK,82.44,scattered clouds,25.2088,64.6357,
560,Natchez,US,80.82,scattered clouds,31.5604,-91.4032,
561,Cochabamba,BO,76.75,few clouds,-17.3895,-66.1568,
562,Mumford,GH,75.11,few clouds,5.2618,-0.759,
564,Wenling,CN,70.21,broken clouds,28.3669,121.36,
568,Darnah,LY,78.06,clear sky,32.767,22.6367,
569,Caceres,ES,81.97,clear sky,39.522,-6.3748,
577,Cabedelo,BR,79.47,scattered clouds,-6.9811,-34.8339,
582,Mirabad,AF,84.94,clear sky,30.4362,61.8383,
583,Puerto Leguizamo,CO,73.36,overcast clouds,-0.1934,-74.7819,
586,Tarragona,ES,80.38,scattered clouds,41.129,1.249,
592,Luau,AO,73.51,clear sky,-10.7073,22.2247,
595,Tambacounda,SN,76.1,light rain,13.7539,-13.7586,
597,Lunenburg,CA,78.06,clear sky,44.3835,-64.3155,
600,Mayumba,GA,74.28,overcast clouds,-3.432,10.6554,
606,Sao Jose Da Coroa Grande,BR,74.79,scattered clouds,-8.8978,-35.1478,
617,Misratah,LY,82.87,clear sky,32.3754,15.0925,
620,Lingao,CN,77.4,overcast clouds,19.9103,109.6859,
626,Khash,IR,77.54,clear sky,28.2211,61.2158,
627,Sorong,ID,76.68,overcast clouds,-0.8833,131.25,
628,Bandar,ID,71.13,overcast clouds,2.05,99.75,
630,Liberia,LR,71.91,light rain,6.5,-9.5,
631,Harper,LR,75.76,scattered clouds,4.375,-7.7169,
632,Dubuque,US,71.67,overcast clouds,42.4833,-90.8668,
633,Nago,JP,80.46,overcast clouds,26.5881,127.9761,
638,Athmallik,IN,76.75,overcast clouds,20.7219,84.5348,
639,Joaquim Gomes,BR,71.85,scattered clouds,-9.1373,-35.7519,
641,Parrita,CR,82.24,overcast clouds,9.5201,-84.3225,
646,Nieves,PH,74.84,broken clouds,15.3274,120.9485,
649,Calama,CL,70.9,clear sky,-22.4667,-68.9333,
650,Ouesso,CG,71.1,few clouds,1.6136,16.0517,
651,Cortes,ES,82.45,scattered clouds,41.9395,-1.4396,
652,Alyangula,AU,74.46,overcast clouds,-13.8483,136.4192,
654,Vila Velha,BR,76.57,scattered clouds,-20.3297,-40.2925,
659,Acarau,BR,81.21,clear sky,-2.8856,-40.12,
660,Shimoda,JP,70.11,clear sky,34.6667,138.95,
661,Mporokoso,ZM,71.37,broken clouds,-9.3727,30.125,
662,Bloomington,US,74.71,scattered clouds,44.8408,-93.2983,
672,Quelimane,MZ,72.73,clear sky,-17.8786,36.8883,
